"PhaseID";"SiteID";"Country";"Culture1";"C14ID";"C14.Age";"C14.SD";"LabID"
"AGER";"S08909";"Denmark";"Ertebølle";22282;5300;55;"AAR-5970"
"AGER";"S08909";"Denmark";"Ertebølle";22286;5375;50;"AAR-5969"
"AGER";"S08909";"Denmark";"Ertebølle";22285;5350;60;"AAR-2655"
"AGER";"S08909";"Denmark";"Ertebølle";22290;5620;65;"AAR-5962"
"AGER";"S08909";"Denmark";"Ertebølle";22280;5265;60;"AAR-2654"
"AGER";"S08909";"Denmark";"Ertebølle";22291;5640;80;"AAR-2652"
"AGER";"S08909";"Denmark";"Ertebølle";22294;6225;55;"AAR-5967"
"AGER";"S08909";"Denmark";"Ertebølle";22289;5565;50;"AAR-5963"
"AGER";"S08909";"Denmark";"Ertebølle";22281;5270;80;"AAR-5961"
"AGER";"S08909";"Denmark";"Ertebølle";22284;5340;75;"AAR-2656"
"AGER";"S08909";"Denmark";"Ertebølle";22283;5310;65;"AAR-5968"
"AGER";"S08909";"Denmark";"Ertebølle";22293;5685;50;"AAR-5966"
"AGER";"S08909";"Denmark";"Ertebølle";22287;5430;70;"AAR-2653"
"AGER";"S08909";"Denmark";"Ertebølle";22288;5555;45;"AAR-5960"
"AGER";"S08909";"Denmark";"Ertebølle";22292;5650;60;"AAR-5964"
"AKNG2";"S08018";"Denmark";"Ertebølle";20353;5140;70;"AAR-4395"
"AKNG2";"S08018";"Denmark";"Ertebølle";20352;5135;50;"AAR-4453"
"AKNG2";"S08018";"Denmark";"Ertebølle";20360;5250;70;"K-4887"
"BJOER1";"S04652";"Denmark";"Ertebølle";28247;5792;41;"UBA-35718"
"BODAL1";"S07871";"Denmark";"Ertebølle";28255;6435;44;"UBA-38238"
"BODAL1";"S07871";"Denmark";"Ertebølle";20041;5250;50;"AAR-4771"
"BODAL1";"S07871";"Denmark";"Ertebølle";20044;5380;50;"AAR-4769"
"BODAL2";"S07871";"Denmark";"Ertebølle";20033;4920;40;"AAR-7054"
"BODAL2";"S07871";"Denmark";"Ertebølle";20034;4970;60;"AAR-6826"
"BODAL2";"S07871";"Denmark";"Ertebølle";20036;5115;50;"AAR-6943"
"BODAL2";"S07871";"Denmark";"Ertebølle";20035;5110;40;"AAR-6945"
"BODAL2";"S07871";"Denmark";"Ertebølle";20039;5209;41;"AAR-7194"
"BODAL2";"S07871";"Denmark";"Ertebølle";20040;5240;45;"AAR-4772"
"BODAL2";"S07871";"Denmark";"Ertebølle";20037;5135;45;"AAR-6944"
"BOG";"S07864";"Denmark";"Ertebølle";20004;6290;75;"K-2782"
"BOG";"S07864";"Denmark";"Ertebølle";20003;6050;75;"K-2781"
